label,index
WN,0
OO,1
MQ,2
UA,3
DL,4
US,5
XE,6
NW,7
CO,8
AA,9
EV,10
FL,11
YV,12
OH,13
B6,14
AS,15
F9,16
HA,17
AQ,18
